modulation,detector,ber_reached_1e-2,snr_ber_db,ber_crossing_status,pd_at_snr_ber,pd_at_snr_ber_status,snr_pd10_db,snr_pd10_status,required_bob_advantage_pd10_db,snr_pd50_db,snr_pd50_status,required_bob_advantage_pd50_db,snr_pd90_db,snr_pd90_status,ber_increase_count,pd_decrease_count
BPSK,Energy,True,4.320975492842205,interp,1.0,interp,-17.884313502445686,interp,22.20528899528789,-14.37242354410158,interp,18.693399036943784,-12.415527384207474,interp,0,29
BPSK,MaxCut,True,4.320975492842205,interp,1.0,interp,-12.089605635365244,interp,16.410581128207447,-8.858086165836763,interp,13.179061658678968,-7.254270896888348,interp,0,37
BPSK,Dcs,True,4.320975492842205,interp,1.0,interp,-16.45805369127517,interp,20.779029184117373,-12.610310346380794,interp,16.931285839223,-10.680583542891402,interp,0,31
QPSK,Energy,True,7.334004190120467,interp,1.0,interp,-17.965855318096065,interp,25.29985950821653,-14.388322147651007,interp,21.722326337771474,-12.400351630517472,interp,1,29
QPSK,MaxCut,True,7.334004190120467,interp,1.0,interp,-12.120805369127515,interp,19.454809559247984,-8.999947384421114,interp,16.33395157454158,-7.317944345860637,interp,1,37
QPSK,Dcs,True,7.334004190120467,interp,1.0,interp,-15.952331784546548,interp,23.286335974667015,-12.599312020398836,interp,19.9333162105193,-10.653606721978544,interp,1,32
16QAM,Energy,True,14.330540460391084,interp,nan,above_pd_range,-17.66371228034223,interp,31.994252740733316,-14.438732133748086,interp,28.76927259413917,-12.401358853260419,interp,0,34
16QAM,MaxCut,True,14.330540460391084,interp,nan,above_pd_range,-12.176316687521327,interp,26.506857147912413,-8.957994568895922,interp,23.288535029287004,-7.310085628326776,interp,0,36
16QAM,Dcs,True,14.330540460391084,interp,nan,above_pd_range,-16.082028337061892,interp,30.412568797452977,-12.470211952230557,interp,26.80075241262164,-10.557664766504733,interp,0,32
64QAM,Energy,False,nan,NR,nan,missing,-17.81357645346487,interp,nan,-14.312402836234027,interp,nan,-12.420128623670678,interp,5,27
64QAM,MaxCut,False,nan,NR,nan,missing,-12.037836786304833,interp,nan,-8.834193072955049,interp,nan,-7.312285988220792,interp,5,36
64QAM,Dcs,False,nan,NR,nan,missing,-16.360676112353964,interp,nan,-12.44859231940305,interp,nan,-10.505901411710253,interp,5,31
BFSK-16,Energy,True,4.605608108318595,interp,1.0,interp,-18.175106772422208,interp,22.780714880740803,-14.430947124720886,interp,19.03655523303948,-12.39297883324729,interp,3,33
BFSK-16,MaxCut,True,4.605608108318595,interp,1.0,interp,-18.563208819757858,interp,23.168816928076453,-16.205177372962606,interp,20.8107854812812,-14.557205102076672,interp,3,29
BFSK-16,Dcs,True,4.605608108318595,interp,1.0,interp,-16.090005836008167,interp,20.695613944326762,-12.815661384737442,interp,17.421269493056037,-10.713167146053053,interp,3,30
BFSK-32,Energy,True,4.709363393741112,interp,1.0,interp,-17.793600305353223,interp,22.502963699094337,-14.394379194630872,interp,19.103742588371986,-12.467712679122075,interp,5,34
BFSK-32,MaxCut,True,4.709363393741112,interp,1.0,interp,-19.10719018509811,interp,23.81655357883922,-16.862297670746152,interp,21.571661064487266,-15.267337807606264,interp,5,26
BFSK-32,Dcs,True,4.709363393741112,interp,1.0,interp,-16.226248383720215,interp,20.935611777461325,-12.761041536935815,interp,17.470404930676928,-11.016693625501569,interp,5,32
BFSK-64,Energy,True,5.038895761824969,interp,1.0,interp,-17.937016004130097,interp,22.975911765955065,-14.3774907771653,interp,19.41638653899027,-12.373270784823996,interp,7,29
BFSK-64,MaxCut,True,5.038895761824969,interp,1.0,interp,-20.070469798657715,interp,25.109365560482683,-17.496751620612184,interp,22.53564738243715,-15.840037334992665,interp,7,24
BFSK-64,Dcs,True,5.038895761824969,interp,1.0,interp,-16.294303291786512,interp,21.33319905361148,-13.220583108167,interp,18.25947886999197,-11.360558205559089,interp,7,31
CSS-16,Energy,True,10.6488404969973,interp,1.0,interp,-17.72557792692021,interp,28.37441842391751,-14.361647504417485,interp,25.010488001414785,-12.387936798831076,interp,5,28
CSS-16,MaxCut,True,10.6488404969973,interp,1.0,interp,-14.615939597315437,interp,25.264780094312737,-11.946134078491054,interp,22.594974575488354,-10.42526821143389,interp,5,36
CSS-16,Dcs,True,10.6488404969973,interp,1.0,interp,-16.09808982963345,interp,26.746930326630753,-12.60432598274209,interp,23.25316647973939,-10.610530379521293,interp,5,31
CSS-64,Energy,True,10.648552995704586,interp,1.0,interp,-17.921979865771814,interp,28.5705328614764,-14.463689698662222,interp,25.112242694366806,-12.49341566497548,interp,4,33
CSS-64,MaxCut,True,10.648552995704586,interp,1.0,interp,-13.160882070949185,interp,23.80943506665377,-10.150886516759032,interp,20.799439512463618,-8.669081002059938,interp,4,34
CSS-64,Dcs,True,10.648552995704586,interp,1.0,interp,-16.04222909282859,interp,26.690782088533176,-12.444339311255364,interp,23.09289230695995,-10.582492809204219,interp,4,30
CDMA-BPSK-16,Energy,True,-5.582333831087131,interp,1.0,interp,-18.0575263662512,interp,12.47519253516407,-14.328707022002128,interp,8.746373190914998,-12.414938298332972,interp,0,30
CDMA-BPSK-16,MaxCut,True,-5.582333831087131,interp,1.0,interp,-16.710726879763396,interp,11.128393048676266,-14.165652151292855,interp,8.583318320205723,-12.569437274135261,interp,0,27
CDMA-BPSK-16,Dcs,True,-5.582333831087131,interp,1.0,interp,-16.15693307062373,interp,10.5745992395366,-12.78119270358084,interp,7.19885887249371,-11.023556824009455,interp,0,30
CDMA-QPSK-16,Energy,True,-2.579553306834875,interp,1.0,interp,-18.00724832214765,interp,15.427695015312775,-14.31496249506514,interp,11.735409188230266,-12.45306190648584,interp,0,28
CDMA-QPSK-16,MaxCut,True,-2.579553306834875,interp,1.0,interp,-16.84717753056909,interp,14.267624223734217,-14.35494898968998,interp,11.775395682855105,-12.668169475895283,interp,0,30
CDMA-QPSK-16,Dcs,True,-2.579553306834875,interp,1.0,interp,-16.591619198014776,interp,14.012065891179901,-13.23260705170621,interp,10.653053744871336,-11.411277582685164,interp,0,31
CDMA-QPSK-32,Energy,True,-5.6762663892021745,interp,1.0,interp,-17.83252365842015,interp,12.156257269217976,-14.419382031579289,interp,8.743115642377115,-12.397758103669855,interp,0,28
CDMA-QPSK-32,MaxCut,True,-5.6762663892021745,interp,1.0,interp,-18.88235294117647,interp,13.206086551974296,-16.31674102085303,interp,10.640474631650855,-14.78151885050223,interp,0,31
CDMA-QPSK-32,Dcs,True,-5.6762663892021745,interp,1.0,interp,-16.805267439495626,interp,11.129001050293452,-13.758534002696752,interp,8.082267613494578,-11.987735283037296,interp,0,31
CDMA-QPSK-64,Energy,True,-8.729321618878208,interp,1.0,interp,-18.007362516277674,interp,9.278040897399466,-14.355917451598552,interp,5.626595832720344,-12.335845527560787,interp,0,31
CDMA-QPSK-64,MaxCut,True,-8.729321618878208,interp,1.0,interp,-20.44912492716718,interp,11.719803308288972,-17.976997258976624,interp,9.247675640098416,-16.283221476510068,interp,0,27
CDMA-QPSK-64,Dcs,True,-8.729321618878208,interp,1.0,interp,-17.624161073825505,interp,8.894839454947297,-14.415477458841096,interp,5.686155839962888,-12.758547034479411,interp,0,31
OFDM-BPSK-16,Energy,True,4.316842732530444,interp,1.0,interp,-17.695140013885673,interp,22.011982746416116,-14.367447430271941,interp,18.684290162802384,-12.413526071244192,interp,0,30
OFDM-BPSK-16,MaxCut,True,4.316842732530444,interp,1.0,interp,-12.209971236816873,interp,16.526813969347316,-8.95459312080537,interp,13.271435853335813,-7.304594734124936,interp,0,37
OFDM-BPSK-16,Dcs,True,4.316842732530444,interp,1.0,interp,-15.971914210679893,interp,20.288756943210338,-12.641963038044441,interp,16.958805770574884,-10.59371504474273,interp,0,32
OFDM-BPSK-64,Energy,True,4.319118859588988,interp,1.0,interp,-18.0079933639997,interp,22.327112223588685,-14.511969233836135,interp,18.831088093425123,-12.481442172623693,interp,0,29
OFDM-BPSK-64,MaxCut,True,4.319118859588988,interp,1.0,interp,-12.251741974094815,interp,16.570860833683803,-8.863905295674313,interp,13.1830241552633,-7.275320317266626,interp,0,33
OFDM-BPSK-64,Dcs,True,4.319118859588988,interp,1.0,interp,-16.123245881635142,interp,20.442364741224132,-12.455507022270401,interp,16.77462588185939,-10.57106382091792,interp,0,34
OFDM-QPSK-16,Energy,True,7.333688138996082,interp,1.0,interp,-17.958022033683676,interp,25.291710172679757,-14.41772601658113,interp,21.751414155577212,-12.437481762474468,interp,0,33
OFDM-QPSK-16,MaxCut,True,7.333688138996082,interp,1.0,interp,-12.14240390482001,interp,19.47609204381609,-8.842262834332555,interp,16.175950973328636,-7.217699747365199,interp,0,38
OFDM-QPSK-16,Dcs,True,7.333688138996082,interp,1.0,interp,-16.04036862666533,interp,23.37405676566141,-12.617978489271856,interp,19.951666628267937,-10.52480332024324,interp,0,34
OFDM-QPSK-64,Energy,True,7.321307476598122,interp,1.0,interp,-17.888432688511646,interp,25.209740165109768,-14.455197868780166,interp,21.77650534537829,-12.340468318199763,interp,0,29
OFDM-QPSK-64,MaxCut,True,7.321307476598122,interp,1.0,interp,-11.99137104506232,interp,19.31267852166044,-8.821116862792309,interp,16.14242433939043,-7.332068114766826,interp,0,34
OFDM-QPSK-64,Dcs,True,7.321307476598122,interp,1.0,interp,-16.189338318093778,interp,23.5106457946919,-12.534759507829978,interp,19.8560669844281,-10.653947277381858,interp,0,25
CSK,Energy,False,nan,NR,nan,missing,-17.98993288590604,interp,nan,-14.420059656972409,interp,nan,-12.374882026006711,interp,6,33
CSK,MaxCut,False,nan,NR,nan,missing,-21.127681982447083,interp,nan,-18.736822981233704,interp,nan,-16.986532138191972,interp,6,24
CSK,Dcs,False,nan,NR,nan,missing,-16.915746852293527,interp,nan,-13.484417569273706,interp,nan,-11.584606950627945,interp,6,32
DCSK,Energy,True,16.76218003695411,interp,nan,above_pd_range,-18.00509647651007,interp,34.76727651346418,-14.31247664459425,interp,31.074656681548362,-12.361534036433365,interp,0,31
DCSK,MaxCut,True,16.76218003695411,interp,nan,above_pd_range,-16.30751422988701,interp,33.06969426684112,-13.755592283552028,interp,30.51777232050614,-12.183516436540845,interp,0,31
DCSK,Dcs,True,16.76218003695411,interp,nan,above_pd_range,-16.750666544083845,interp,33.512846581037955,-13.10738255033557,interp,29.86956258728968,-11.206101903848786,interp,0,26
QCSK,Energy,True,19.78391552522828,interp,nan,above_pd_range,-17.961216855539664,interp,37.74513238076794,-14.358111029646757,interp,34.14202655487504,-12.384798331921548,interp,8,31
QCSK,MaxCut,True,19.78391552522828,interp,nan,above_pd_range,-16.477212705642913,interp,36.26112823087119,-13.944310671653259,interp,33.728226196881536,-12.307698381365968,interp,8,29
QCSK,Dcs,True,19.78391552522828,interp,nan,above_pd_range,-16.842916742245603,interp,36.62683226747389,-13.226781252843075,interp,33.010696778071356,-11.239439060171652,interp,8,29
FH-OFDM-DCSK,Energy,True,16.989224531009974,interp,nan,above_pd_range,-17.90530477153627,interp,34.894529302546246,-14.452089661548067,interp,31.44131419255804,-12.42311652545001,interp,8,32
FH-OFDM-DCSK,MaxCut,True,16.989224531009974,interp,nan,above_pd_range,-12.136257218667081,interp,29.125481749677057,-8.765569661195117,interp,25.75479419220509,-7.276259952478219,interp,8,37
FH-OFDM-DCSK,Dcs,True,16.989224531009974,interp,nan,above_pd_range,-16.144139222725144,interp,33.13336375373512,-12.606044385885454,interp,29.595268916895428,-10.579561488534164,interp,8,30
